fid,samp,mass,vv,tlh,tdh,trh,path,t2,tmax,gear,replicate,mod,hi,NJ,may,jun,july,aug,year,time
126,21,0.000001,NA,NA,NA,NA,0,0,0,0,1,1,0,0,1,0,0,0,0,1
127,22,0.1,3,3,2,0,2,0,0,0,2,1,0,0,1,0,0,0,0,1
128,22,0.01,3,3,2,0,2,0,0,0,2,1,0,0,1,0,0,0,0,1
129,22,0.001,3,3,0,0,0,0,0,0,2,1,0,0,1,0,0,0,0,1
130,22,0.0001,1,1,0,0,0,0,0,0,2,1,0,0,1,0,0,0,0,1
131,22,0.00001,0,0,0,0,0,0,0,0,2,1,0,0,1,0,0,0,0,1
132,22,0.000001,NA,NA,NA,NA,0,0,0,0,2,1,0,0,1,0,0,0,0,1
133,23,0.1,3,3,3,0,3,0,0,0,3,1,0,0,1,0,0,0,0,1
134,23,0.01,3,3,0,0,0,0,0,0,3,1,0,0,1,0,0,0,0,1
135,23,0.001,3,3,0,0,0,0,0,0,3,1,0,0,1,0,0,0,0,1
136,23,0.0001,0,2,0,0,0,0,0,0,3,1,0,0,1,0,0,0,0,1
137,23,0.00001,1,0,0,0,0,0,0,0,3,1,0,0,1,0,0,0,0,1
138,23,0.000001,0,1,0,0,0,0,0,0,3,1,0,0,1,0,0,0,0,1
139,24,0.1,3,3,3,2,3,0,0,0,4,1,0,0,1,0,0,0,0,1
140,24,0.01,3,3,2,0,2,0,0,0,4,1,0,0,1,0,0,0,0,1
141,24,0.001,3,1,0,0,0,0,0,0,4,1,0,0,1,0,0,0,0,1
142,24,0.0001,0,0,0,0,0,0,0,0,4,1,0,0,1,0,0,0,0,1
143,24,0.00001,0,0,0,0,0,0,0,0,4,1,0,0,1,0,0,0,0,1
144,24,0.000001,NA,NA,NA,NA,0,0,0,0,4,1,0,0,1,0,0,0,0,1
145,25,0.1,3,3,3,1,3,1,0,1,1,1,0,0,1,0,0,0,0,1
146,25,0.01,3,3,2,1,2,1,0,1,1,1,0,0,1,0,0,0,0,1
147,25,0.001,3,3,1,0,1,1,0,1,1,1,0,0,1,0,0,0,0,1
148,25,0.0001,1,3,0,0,0,1,0,1,1,1,0,0,1,0,0,0,0,1
149,25,0.00001,1,2,0,0,0,1,0,1,1,1,0,0,1,0,0,0,0,1
150,25,0.000001,NA,NA,NA,NA,0,1,0,1,1,1,0,0,1,0,0,0,0,1
151,26,0.1,3,3,3,0,3,1,0,1,2,1,0,0,1,0,0,0,0,1
152,26,0.01,3,3,3,0,3,1,0,1,2,1,0,0,1,0,0,0,0,1
153,26,0.001,3,3,1,1,1,1,0,1,2,1,0,0,1,0,0,0,0,1
154,26,0.0001,1,3,0,0,0,1,0,1,2,1,0,0,1,0,0,0,0,1
155,26,0.00001,0,0,0,0,0,1,0,1,2,1,0,0,1,0,0,0,0,1
156,26,0.000001,NA,NA,NA,NA,0,1,0,1,2,1,0,0,1,0,0,0,0,1
157,27,0.1,3,3,3,0,3,1,0,1,3,1,0,0,1,0,0,0,0,1
158,27,0.01,3,3,3,0,3,1,0,1,3,1,0,0,1,0,0,0,0,1
159,27,0.001,3,3,2,0,2,1,0,1,3,1,0,0,1,0,0,0,0,1
160,27,0.0001,3,3,0,0,0,1,0,1,3,1,0,0,1,0,0,0,0,1
161,27,0.00001,2,1,0,0,0,1,0,1,3,1,0,0,1,0,0,0,0,1
162,27,0.000001,NA,NA,NA,NA,0,1,0,1,3,1,0,0,1,0,0,0,0,1
163,28,0.1,3,3,3,0,3,1,0,1,4,1,0,0,1,0,0,0,0,1
164,28,0.01,3,3,3,0,3,1,0,1,4,1,0,0,1,0,0,0,0,1
165,28,0.001,3,3,0,0,0,1,0,1,4,1,0,0,1,0,0,0,0,1
166,28,0.0001,0,3,0,0,0,1,0,1,4,1,0,0,1,0,0,0,0,1
167,28,0.00001,1,1,0,0,0,1,0,1,4,1,0,0,1,0,0,0,0,1
168,28,0.000001,NA,NA,NA,NA,0,1,0,1,4,1,0,0,1,0,0,0,0,1
169,29,0.1,3,3,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1
170,29,0.01,3,3,0,1,1,1,0,0,1,1,0,0,1,0,0,0,0,1
171,29,0.001,3,3,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1
172,29,0.0001,2,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1
173,29,0.00001,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1
174,29,0.000001,NA,NA,NA,NA,0,1,0,0,1,1,0,0,1,0,0,0,0,1
175,30,0.1,3,3,1,1,1,1,0,0,2,1,0,0,1,0,0,0,0,1
176,30,0.01,3,3,1,2,2,1,0,0,2,1,0,0,1,0,0,0,0,1
177,30,0.001,3,3,0,0,0,1,0,0,2,1,0,0,1,0,0,0,0,1
178,30,0.0001,2,2,0,0,0,1,0,0,2,1,0,0,1,0,0,0,0,1
179,30,0.00001,2,2,1,0,1,1,0,0,2,1,0,0,1,0,0,0,0,1
180,30,0.000001,NA,NA,NA,NA,0,1,0,0,2,1,0,0,1,0,0,0,0,1
181,31,0.1,3,3,3,2,3,1,0,0,3,1,0,0,1,0,0,0,0,1
182,31,0.01,3,3,3,0,3,1,0,0,3,1,0,0,1,0,0,0,0,1
183,31,0.001,0,2,1,0,1,1,0,0,3,1,0,0,1,0,0,0,0,1
184,31,0.0001,0,0,0,0,0,1,0,0,3,1,0,0,1,0,0,0,0,1
185,31,0.00001,0,0,0,0,0,1,0,0,3,1,0,0,1,0,0,0,0,1
186,31,0.000001,NA,NA,NA,NA,0,1,0,0,3,1,0,0,1,0,0,0,0,1
187,32,0.1,3,3,1,1,1,1,0,0,4,1,0,0,1,0,0,0,0,1
188,32,0.01,3,3,1,2,2,1,0,0,4,1,0,0,1,0,0,0,0,1
189,32,0.001,3,3,0,0,0,1,0,0,4,1,0,0,1,0,0,0,0,1
190,32,0.0001,2,2,0,0,0,1,0,0,4,1,0,0,1,0,0,0,0,1
191,32,0.00001,2,2,0,0,0,1,0,0,4,1,0,0,1,0,0,0,0,1
192,32,0.000001,NA,NA,NA,NA,0,1,0,0,4,1,0,0,1,0,0,0,0,1
193,33,0.1,0,3,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,1
194,33,0.01,0,1,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,1
195,33,0.001,0,2,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,1
196,33,0.0001,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,1
197,33,0.00001,NA,NA,NA,NA,0,0,0,1,1,0,1,0,1,0,0,0,0,1
198,33,0.000001,NA,NA,NA,NA,0,0,0,1,1,0,1,0,1,0,0,0,0,1
199,34,0.1,0,3,1,0,1,0,0,1,2,0,1,0,1,0,0,0,0,1
200,34,0.01,0,1,0,0,0,0,0,1,2,0,1,0,1,0,0,0,0,1
201,34,0.001,0,0,0,0,0,0,0,1,2,0,1,0,1,0,0,0,0,1
202,34,0.0001,0,0,0,0,0,0,0,1,2,0,1,0,1,0,0,0,0,1
