fid,new.fid,month,year,site,water,new.water,mass,turb,vvha,pilf,tlh,tdh,trh,path,temp,sal,stan.temp,old.water.id,new.water.id,water.vvha,water.plif,log.vvha,log.pilf,stan.vvha,stan.pilf,,,,,,,
43,7,7,2012,2,11,2,1.0E-01,3,3,3,3,0,3,3,29,24,1.312974064,58,43,36.7114436,6.791486894,3.603088521,1.915669901,0.409862235,0.3147902,,,,,,,
43,7,7,2012,2,11,2,1.0E-02,3,3,3,3,2,2,2,29,24,1.312974064,59,44,36.45295116,6.627426247,3.59602242,1.891216531,0.407597234,0.30490529,,,,,,,
43,7,7,2012,2,11,2,1.0E-03,3,3,3,3,1,0,1,29,24,1.312974064,60,45,55805.96902,6798.189808,10.92963611,8.824411651,2.758347747,3.107545874,,,,,,,
43,7,7,2012,2,11,2,1.0E-04,3,3,3,3,0,0,0,29,24,1.312974064,61,46,261.5574683,2.42343593,5.566654024,0.885186339,1.039272619,-0.10176739,,,,,,,
43,7,7,2012,2,11,2,1.0E-05,3,1,0,3,0,0,0,29,24,1.312974064,62,47,0.30122752,0.302529714,-1.199889418,-1.195575779,-1.129706568,-0.942884402,,,,,,,
43,7,7,2012,2,11,2,1.0E-06,1,0,0,0,0,0,0,29,24,1.312974064,63,48,36.58928486,1.307506887,3.599755434,0.268122184,0.408793832,-0.351206359,,,,,,,
43,7,7,2012,2,11,2,1.0E-07,0,0,0,0,0,0,0,29,24,1.312974064,64,49,9.884848441,1.872360124,2.291003124,0.627199734,-0.010719698,-0.206054623,,,,,,,
44,8,7,2012,2,11,2,1.0E-01,3,3,3,3,0,0,0,29,24,1.312974064,65,50,0.535442107,0.308872394,-0.624662506,-1.174827052,-0.945320668,-0.934497039,,,,,,,
44,8,7,2012,2,11,2,1.0E-02,3,3,3,3,0,0,0,29,24,1.312974064,66,51,0.306671297,0.300837098,-1.181978798,-1.201186363,-1.123965414,-0.945152396,,,,,,,
44,8,7,2012,2,11,2,1.0E-03,3,3,3,3,0,0,0,29,24,1.312974064,67,52,0.538096157,0.309540661,-0.619718005,-1.172665818,-0.943735735,-0.933623392,,,,,,,
44,8,7,2012,2,11,2,1.0E-04,3,2,1,3,0,0,0,29,24,1.312974064,68,53,0.532851482,0.545365102,-0.629512538,-0.606299796,-0.94687532,-0.704678386,,,,,,,
44,8,7,2012,2,11,2,1.0E-05,3,0,0,2,0,0,0,29,24,1.312974064,69,54,0.303981481,0.305070244,-1.190788496,-1.187213222,-1.126789316,-0.939503963,,,,,,,
44,8,7,2012,2,11,2,1.0E-06,0,0,0,0,0,0,0,29,24,1.312974064,70,55,0.311057715,0.305661323,-1.167776804,-1.185277576,-1.119413041,-0.938721507,,,,,,,
44,8,7,2012,2,11,2,1.0E-07,0,0,0,0,0,0,0,29,24,1.312974064,71,56,0.305666262,0.311963937,-1.18526142,-1.164867683,-1.125017641,-0.930471112,,,,,,,
45,9,7,2012,3,12,3,1.0E-01,3,3,3,3,0,1,1,29,23,1.312974064,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,
45,9,7,2012,3,12,3,1.0E-02,3,3,3,3,0,0,0,29,23,1.312974064,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,
45,9,7,2012,3,12,3,1.0E-03,3,3,0,3,0,0,0,29,23,1.312974064,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,
45,9,7,2012,3,12,3,1.0E-04,2,1,0,1,0,0,0,29,23,1.312974064,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,
45,9,7,2012,3,12,3,1.0E-05,1,0,0,0,0,0,0,29,23,1.312974064,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,
45,9,7,2012,3,12,3,1.0E-06,0,0,0,0,0,0,0,29,23,1.312974064,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,
45,9,7,2012,3,12,3,1.0E-07,0,0,0,0,0,0,0,29,23,1.312974064,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,
46,10,7,2012,3,12,3,1.0E-01,3,3,3,3,0,2,2,29,23,1.312974064,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,
46,10,7,2012,3,12,3,1.0E-02,3,3,2,3,0,0,0,29,23,1.312974064,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,
46,10,7,2012,3,12,3,1.0E-03,3,3,0,2,0,0,0,29,23,1.312974064,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,
46,10,7,2012,3,12,3,1.0E-04,2,0,0,1,0,0,0,29,23,1.312974064,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,
