fid,month,year,site,water,mass,turb,vvha,pilf,tlh,tdh,trh,path,temp,sal,water.vvha,vvha.pre,water.plif,pilf.pre,water.tlh,tlh.pre,water.path,path.pre
8,4,2012,2,2,1.0E-02,3,0,NA,0,0,0,0,16,20,191.5932593,0.00491493,188.9652495,0.010772005,40.26247796,0.012150493,0.311529601,307.7870114
8,4,2012,2,2,1.0E-03,2,0,NA,0,0,0,0,16,20,189.5306937,0.005077349,191.6201365,0.153305669,66.91068745,0.009547929,0.618373231,7.149189282
8,4,2012,2,2,1.0E-04,0,0,NA,0,0,0,0,16,20,0.5339885,10.96443138,0.543492201,268.744961,6.714339769,0.114057326,0.310872178,594.8839976
8,4,2012,2,2,1.0E-05,0,0,NA,0,0,0,0,16,20,13261.74858,0.001638041,13102.32311,0.002757298,183.8358143,0.005086044,0.30134875,5102.040816
8,4,2012,2,2,1.0E-06,0,0,NA,0,0,0,0,16,20,684.0269754,0.003430681,675.7996129,0.007118963,1904.054677,0.002253173,0.309341529,3906.25
8,4,2012,2,2,1.0E-07,0,0,NA,0,0,0,0,16,20,1.757896321,1.902497027,1.752418716,10.54140665,141.3522747,0.005412144,0.622182827,7.304601899
9,4,2012,3,3,1.0E-01,3,1,NA,1,0,0,0,15,17,6794.443581,0.001861275,6691.230599,0.002757008,1162.711255,0.0022566,0.3029616,452.6935265
9,4,2012,3,3,1.0E-02,3,0,NA,0,0,0,0,15,17,36.47157885,0.016483013,37.06205529,0.124158146,259.6381057,0.003744005,0.308869148,540.8328826
9,4,2012,3,3,1.0E-03,3,0,NA,0,0,0,0,15,17,36.25880267,0.015994716,36.79809115,0.122683957,257.5813918,0.003871811,0.313864982,472.5897921
9,4,2012,3,3,1.0E-04,1,0,NA,0,0,0,0,15,17,55357.20019,0.001296913,55662.81532,0.001925864,13250.00398,0.001607837,1.379410888,2.44140625
9,4,2012,3,3,1.0E-05,0,0,NA,0,0,0,0,15,17,258.193532,0.003662876,257.1984287,0.870182669,671.4953935,0.003511244,0.633060662,7.589038393
9,4,2012,3,3,1.0E-06,0,0,NA,0,0,0,0,15,17,0.309764528,416.4931279,0.306047864,204.0816327,1.28318392,2.064341393,0.312257239,113.1733816
9,4,2012,3,3,1.0E-07,0,0,NA,0,0,0,0,15,17,36.46708927,0.016774628,36.67953652,2.112628448,13.07186603,0.047923421,0.626973078,6.507705123
10,4,2012,3,3,1.0E-01,3,0,NA,3,0,0,0,15,17,10.0934023,0.068744605,9.905061367,1.218270154,67.28795357,0.009952172,0.307593751,192.9012346
10,4,2012,3,3,1.0E-02,3,0,NA,0,0,0,0,15,17,0.524538386,11.18555721,0.535615886,1479.289941,1.287176979,2.18183881,0.30951812,1479.289941
10,4,2012,3,3,1.0E-03,3,0,NA,0,0,0,0,15,17,0.310778092,540.8328826,0.306135484,236.6863905,0.541393792,10.01442077,0.305987355,976.5625
10,4,2012,3,3,1.0E-04,0,0,NA,0,0,0,0,15,17,0.533717261,10.82063712,0.536164407,145.158949,6.582666136,0.124333325,0.299760871,1479.289941
