fid,month,year,site,water,mass,turb,vvha,pilf,tlh,tdh,trh,path,temp,sal,water.vvha,water.plif,water.tlh,water.path
13,9,2012,1,4,1.00E-06,0,0,0,0,0,0,0,26,14,NA,NA,NA,NA
13,9,2012,1,4,1.00E-07,0,0,0,0,0,0,0,26,14,NA,NA,NA,NA
14,9,2012,1,4,1.00E-01,3,3,3,3,0,0,0,26,14,NA,NA,NA,NA
14,9,2012,1,4,1.00E-02,3,3,3,3,0,0,0,26,14,NA,NA,NA,NA
14,9,2012,1,4,1.00E-03,3,3,3,3,0,0,0,26,14,NA,NA,NA,NA
14,9,2012,1,4,1.00E-04,3,2,1,1,0,0,0,26,14,NA,NA,NA,NA
14,9,2012,1,4,1.00E-05,0,0,0,0,0,0,0,26,14,NA,NA,NA,NA
14,9,2012,1,4,1.00E-06,0,0,0,0,0,0,0,26,14,NA,NA,NA,NA
14,9,2012,1,4,1.00E-07,0,0,0,0,0,0,0,26,14,NA,NA,NA,NA
15,9,2012,1,4,1.00E-01,3,3,3,3,0,1,1,26,14,NA,NA,NA,NA
15,9,2012,1,4,1.00E-02,3,3,3,3,0,0,0,26,14,NA,NA,NA,NA
15,9,2012,1,4,1.00E-03,3,3,3,3,0,0,0,26,14,NA,NA,NA,NA
15,9,2012,1,4,1.00E-04,3,2,1,2,0,0,0,26,14,NA,NA,NA,NA
15,9,2012,1,4,1.00E-05,0,0,0,0,0,0,0,26,14,NA,NA,NA,NA
15,9,2012,1,4,1.00E-06,0,0,0,0,0,0,0,26,14,NA,NA,NA,NA
15,9,2012,1,4,1.00E-07,0,0,0,0,0,0,0,26,14,NA,NA,NA,NA
16,9,2012,1,4,1.00E-01,3,3,3,3,1,0,1,26,14,NA,NA,NA,NA
16,9,2012,1,4,1.00E-02,3,3,3,3,0,0,0,26,14,NA,NA,NA,NA
16,9,2012,1,4,1.00E-03,3,3,3,3,0,0,0,26,14,NA,NA,NA,NA
16,9,2012,1,4,1.00E-04,3,3,1,1,0,0,0,26,14,NA,NA,NA,NA
16,9,2012,1,4,1.00E-05,2,1,0,0,0,0,0,26,14,NA,NA,NA,NA
16,9,2012,1,4,1.00E-06,0,0,0,0,0,0,0,26,14,NA,NA,NA,NA
16,9,2012,1,4,1.00E-07,0,0,0,0,0,0,0,26,14,NA,NA,NA,NA
17,9,2012,2,5,1.00E-01,3,3,3,3,0,0,0,25,22,NA,NA,NA,NA
17,9,2012,2,5,1.00E-02,3,3,3,3,0,0,0,25,22,NA,NA,NA,NA
